Date,Open,High,Low,Close,Adj Close,Volume
2016-12-12,115.440002,116.079002,115.156998,115.412003,115.412003,0
2016-12-13,114.992996,115.468002,114.777000,115.001999,115.001999,0
2016-12-14,115.195000,115.304001,114.780998,115.223999,115.223999,0
2016-12-15,117.232002,118.647003,117.198997,117.210999,117.210999,0
2016-12-16,118.267998,118.398003,117.926498,118.240997,118.240997,0
2016-12-19,117.817001,117.833000,116.847000,117.791000,117.791000,0
2016-12-20,117.043999,118.231003,117.000000,117.037003,117.037003,0
2016-12-21,117.806000,118.047997,117.112999,117.875000,117.875000,0
2016-12-22,117.617996,117.850998,117.317001,117.603996,117.603996,0
2016-12-23,117.559998,117.559998,117.176003,117.542000,117.542000,0
2016-12-26,117.313004,117.313004,117.000999,117.309998,117.309998,0
2016-12-27,117.182999,117.600998,117.182999,117.192001,117.192001,0
2016-12-28,117.487000,117.805000,117.377998,117.480003,117.480003,0
2016-12-29,117.046997,117.046997,116.232002,117.086998,117.086998,0
2016-12-30,116.315002,117.190002,116.122002,116.266998,116.266998,0
2017-01-02,116.809998,117.485001,116.724998,116.794998,116.794998,0
2017-01-03,117.487999,118.593002,117.286003,117.495003,117.495003,0
2017-01-04,117.678001,118.176003,117.068001,117.658997,117.658997,0
2017-01-05,117.056000,117.084999,115.292999,117.112999,117.112999,0
2017-01-06,115.318001,116.744003,115.263000,115.264999,115.264999,0
2017-01-09,117.158997,117.524002,116.182999,117.150002,117.150002,0
2017-01-10,115.996002,116.333000,115.203003,115.985001,115.985001,0
2017-01-11,115.875000,116.834999,115.681000,115.872002,115.872002,0
2017-01-12,115.055000,115.219002,113.760002,115.098000,115.098000,0
2017-01-13,114.695999,115.388000,114.283997,114.664001,114.664001,0
2017-01-16,114.262001,114.448997,113.695999,114.226997,114.226997,0
2017-01-17,114.125999,114.276001,112.739998,114.152000,114.152000,0
2017-01-18,112.907997,113.555000,112.644997,112.877998,112.877998,0
2017-01-19,114.737999,115.521004,114.422997,114.762001,114.762001,0
2017-01-20,114.893997,115.370003,114.545998,114.980003,114.980003,0
2017-01-23,113.852997,114.036003,112.974998,113.809998,113.809998,0
2017-01-24,112.837997,113.468002,112.580002,112.779999,112.779999,0
2017-01-25,113.903000,113.961998,113.083000,113.839996,113.839996,0
2017-01-26,113.192001,114.767998,113.067001,113.292999,113.292999,0
2017-01-27,114.425003,115.335999,114.401001,114.455002,114.455002,0
2017-01-30,114.682999,114.915001,113.764000,114.667999,114.667999,0
2017-01-31,113.694000,113.931999,112.083000,113.650002,113.650002,0
2017-02-01,112.767998,113.915001,112.767998,112.742996,112.742996,0
2017-02-02,113.242996,113.242996,112.077003,113.310997,113.310997,0
2017-02-03,112.778999,113.232002,112.323502,112.789001,112.789001,0
2017-02-06,112.647003,112.771004,112.028000,112.639000,112.639000,0
2017-02-07,111.797997,112.558998,111.598999,111.827003,111.827003,0
2017-02-08,112.402000,112.519997,111.649002,112.387001,112.387001,0
2017-02-09,111.955002,113.179001,111.903000,111.952003,111.952003,0
2017-02-10,113.436996,113.839996,113.374001,113.433998,113.433998,0
2017-02-13,113.970001,114.135002,113.452003,113.914001,113.914001,0
2017-02-14,113.672997,114.432999,113.271004,113.705002,113.705002,0
2017-02-15,114.286003,114.941002,114.240997,114.301003,114.301003,0
2017-02-16,114.136002,114.136002,113.227997,114.112000,114.112000,0
2017-02-17,113.351997,113.483002,112.628998,113.305000,113.305000,0
2017-02-20,112.900002,113.232002,112.836998,112.911003,112.911003,0
2017-02-21,113.242996,113.753998,113.242996,113.279999,113.279999,0
2017-02-22,113.653999,113.653999,112.913002,113.668999,113.668999,0
2017-02-23,113.375000,113.397003,112.577003,113.417000,113.417000,0
2017-02-24,112.676003,112.949997,112.064003,112.681999,112.681999,0
2017-02-27,112.174004,112.468002,111.934998,112.188004,112.188004,0
2017-02-28,112.734001,112.796997,111.783501,112.745003,112.745003,0
2017-03-01,113.033997,114.038002,112.814003,113.077003,113.077003,0
2017-03-02,114.097000,114.536003,113.847000,114.121002,114.121002,0
2017-03-03,114.322998,114.524002,114.074997,114.342003,114.342003,0
2017-03-06,113.823997,113.913002,113.560501,113.847000,113.847000,0
2017-03-07,113.916000,114.140999,113.738998,113.917000,113.917000,0
2017-03-08,113.924004,114.716003,113.617996,113.926003,113.926003,0
2017-03-09,114.405998,114.947998,114.366997,114.411003,114.411003,0
2017-03-10,115.139000,115.487999,114.815002,115.149002,115.149002,0
2017-03-13,114.775002,114.912003,114.483002,114.732002,114.732002,0
2017-03-14,114.913002,115.176003,114.560997,114.915001,114.915001,0
2017-03-15,114.653000,114.880997,114.563499,114.658997,114.658997,0
2017-03-16,113.400002,113.528000,112.919998,113.402000,113.402000,0
2017-03-17,113.348000,113.489998,112.551498,113.339996,113.339996,0
2017-03-20,112.665001,112.884003,112.467003,112.674004,112.674004,0
2017-03-21,112.573997,112.858002,111.834000,112.572998,112.572998,0
2017-03-22,111.563004,111.753998,110.764999,111.531998,111.531998,0
2017-03-23,111.334000,111.557999,110.632004,111.369003,111.369003,0
2017-03-24,110.991997,111.475998,110.879997,111.003998,111.003998,0
2017-03-27,110.542999,110.580002,110.121002,110.552002,110.552002,0
2017-03-28,110.747002,110.813004,110.207001,110.771004,110.771004,0
2017-03-29,111.188004,111.295998,110.754997,111.225998,111.225998,0
2017-03-30,111.119003,111.481003,110.964996,111.153999,111.153999,0
2017-03-31,111.740997,112.181000,111.392998,111.776001,111.776001,0
2017-04-03,111.313004,111.573997,110.922997,111.264999,111.264999,0
2017-04-04,110.700996,110.801003,110.274002,110.709000,110.709000,0
2017-04-05,110.827003,111.416000,110.544998,110.853996,110.853996,0
2017-04-06,110.394997,111.108002,110.295998,110.380997,110.380997,0
2017-04-07,110.892998,110.989998,110.152000,110.897003,110.897003,0
2017-04-10,111.224998,111.571999,110.939003,111.224998,111.224998,0
2017-04-11,110.688004,110.833000,109.636002,110.717003,110.717003,0
2017-04-12,109.584999,109.754997,109.365997,109.586998,109.586998,0
2017-04-13,108.873001,109.371002,108.740997,108.902000,108.902000,0
2017-04-14,109.113998,109.219002,108.563004,109.100998,109.100998,0
2017-04-17,108.295998,108.625999,108.141998,108.322998,108.322998,0
2017-04-18,109.151001,109.211998,108.414001,109.112000,109.112000,0
2017-04-19,108.546997,109.167000,108.425003,108.535004,108.535004,0
2017-04-20,108.841003,109.411003,108.720001,108.834000,108.834000,0
2017-04-21,109.367996,109.383003,108.943001,109.375000,109.375000,0
2017-04-24,109.992996,110.325996,109.721001,109.977997,109.977997,0
2017-04-25,109.625999,110.992996,109.625999,109.640999,109.640999,0
